arm,results_json_tag,traj_index,n_main_thread_tool_calls,n_branch_calls,n_return_calls,score
No-RL base,norl_base_greedy_sc,0,9,4,0,0.0
No-RL base,norl_base_greedy_sc,1,9,1,1,0.0
No-RL base,norl_base_greedy_sc,2,3,1,0,0.0
No-RL base,norl_base_greedy_sc,3,5,0,0,0.0
No-RL base,norl_base_greedy_sc,4,5,0,0,0.0
No-RL base,norl_base_greedy_sc,5,17,4,0,0.0
No-RL base,norl_base_greedy_sc,6,9,2,0,0.0
No-RL base,norl_base_greedy_sc,7,4,1,1,1.0
No-RL base,norl_base_greedy_sc,8,5,0,0,0.0
No-RL base,norl_base_greedy_sc,9,6,1,0,0.0
No-RL base,norl_base_greedy_sc,10,7,0,0,0.0
No-RL base,norl_base_greedy_sc,11,10,1,0,0.0
No-RL base,norl_base_greedy_sc,12,6,0,0,0.0
No-RL base,norl_base_greedy_sc,13,5,0,0,0.0
No-RL base,norl_base_greedy_sc,14,8,1,0,0.0
No-RL base,norl_base_greedy_sc,15,13,1,1,1.0
No-RL base,norl_base_greedy_sc,16,7,0,0,0.0
No-RL base,norl_base_greedy_sc,17,6,1,0,0.0
No-RL base,norl_base_greedy_sc,18,12,6,0,0.0
No-RL base,norl_base_greedy_sc,19,7,1,1,0.0
No-RL base,norl_base_greedy_sc,20,8,2,0,0.0
No-RL base,norl_base_greedy_sc,21,14,1,0,0.0
No-RL base,norl_base_greedy_sc,22,12,2,0,1.0
No-RL base,norl_base_greedy_sc,23,5,1,1,0.0
No-RL base,norl_base_greedy_sc,24,8,3,0,0.0
No-RL base,norl_base_greedy_sc,25,5,0,0,0.0
No-RL base,norl_base_greedy_sc,26,5,3,0,0.0
No-RL base,norl_base_greedy_sc,27,9,4,0,1.0
No-RL base,norl_base_greedy_sc,28,4,0,0,0.0
No-RL base,norl_base_greedy_sc,29,8,0,0,0.0
No-RL base,norl_base_greedy_sc,30,6,4,0,0.0
No-RL base,norl_base_greedy_sc,31,5,0,0,0.0
No-RL base,norl_base_greedy_sc,32,5,0,0,0.0
No-RL base,norl_base_greedy_sc,33,5,0,0,0.0
No-RL base,norl_base_greedy_sc,34,9,0,0,0.0
No-RL base,norl_base_greedy_sc,35,5,0,0,0.0
No-RL base,norl_base_greedy_sc,36,9,1,1,1.0
No-RL base,norl_base_greedy_sc,37,6,1,0,0.0
No-RL base,norl_base_greedy_sc,38,8,4,0,0.0
No-RL base,norl_base_greedy_sc,39,5,2,0,0.0
No-RL base,norl_base_greedy_sc,40,6,1,0,0.0
No-RL base,norl_base_greedy_sc,41,5,2,0,0.0
No-RL base,norl_base_greedy_sc,42,7,3,0,0.0
No-RL base,norl_base_greedy_sc,43,5,1,0,0.0
No-RL base,norl_base_greedy_sc,44,9,1,0,0.0
No-RL base,norl_base_greedy_sc,45,8,1,0,0.0
No-RL base,norl_base_greedy_sc,46,9,1,0,0.0
No-RL base,norl_base_greedy_sc,47,5,2,0,1.0
No-RL base,norl_base_greedy_sc,48,6,0,0,0.0
No-RL base,norl_base_greedy_sc,49,5,2,0,0.0
No-RL base,norl_base_greedy_sc,50,7,2,0,0.0
No-RL base,norl_base_greedy_sc,51,6,1,0,0.0
No-RL base,norl_base_greedy_sc,52,6,5,0,0.0
No-RL base,norl_base_greedy_sc,53,11,1,0,0.0
No-RL base,norl_base_greedy_sc,54,8,0,0,0.0
No-RL base,norl_base_greedy_sc,55,9,3,0,0.0
No-RL base,norl_base_greedy_sc,56,8,1,0,0.0
No-RL base,norl_base_greedy_sc,57,7,0,0,0.0
No-RL base,norl_base_greedy_sc,58,6,1,1,0.0
No-RL base,norl_base_greedy_sc,59,5,0,0,0.0
No-RL base,norl_base_greedy_sc,60,5,1,1,1.0
No-RL base,norl_base_greedy_sc,61,9,1,0,0.0
No-RL base,norl_base_greedy_sc,62,7,2,1,0.0
No-RL base,norl_base_greedy_sc,63,4,1,0,0.0
No-RL base,norl_base_greedy_sc,64,6,1,1,1.0
No-RL base,norl_base_greedy_sc,65,63,0,61,0.0
No-RL base,norl_base_greedy_sc,66,6,4,0,0.0
No-RL base,norl_base_greedy_sc,67,8,1,0,0.0
No-RL base,norl_base_greedy_sc,68,5,2,1,0.0
No-RL base,norl_base_greedy_sc,69,5,4,0,0.0
No-RL base,norl_base_greedy_sc,70,15,1,1,0.0
No-RL base,norl_base_greedy_sc,71,10,1,1,1.0
No-RL base,norl_base_greedy_sc,72,5,2,1,1.0
No-RL base,norl_base_greedy_sc,73,6,1,0,0.0
No-RL base,norl_base_greedy_sc,74,9,4,1,1.0
No-RL base,norl_base_greedy_sc,75,10,2,0,0.0
No-RL base,norl_base_greedy_sc,76,5,2,0,1.0
No-RL base,norl_base_greedy_sc,77,5,4,0,0.0
No-RL base,norl_base_greedy_sc,78,10,1,0,0.0
No-RL base,norl_base_greedy_sc,79,8,0,0,0.0
No-RL base,norl_base_greedy_sc,80,5,1,0,0.0
No-RL base,norl_base_greedy_sc,81,9,1,0,0.0
No-RL base,norl_base_greedy_sc,82,5,1,1,1.0
No-RL base,norl_base_greedy_sc,83,7,1,1,1.0
No-RL base,norl_base_greedy_sc,84,8,1,0,0.0
No-RL base,norl_base_greedy_sc,85,11,0,0,0.0
No-RL base,norl_base_greedy_sc,86,7,1,0,0.0
No-RL base,norl_base_greedy_sc,87,19,1,0,0.0
No-RL base,norl_base_greedy_sc,88,5,2,1,1.0
No-RL base,norl_base_greedy_sc,89,4,0,0,0.0
No-RL base,norl_base_greedy_sc,90,11,1,0,0.0
No-RL base,norl_base_greedy_sc,91,4,1,1,1.0
No-RL base,norl_base_greedy_sc,92,5,1,0,0.0
No-RL base,norl_base_greedy_sc,93,5,0,0,0.0
No-RL base,norl_base_greedy_sc,94,8,0,0,0.0
No-RL base,norl_base_greedy_sc,95,5,1,1,1.0
No-RL base,norl_base_greedy_sc,96,12,2,0,0.0
No-RL base,norl_base_greedy_sc,97,12,9,0,0.0
No-RL base,norl_base_greedy_sc,98,8,4,0,0.0
No-RL base,norl_base_greedy_sc,99,6,0,0,0.0
No-RL base,norl_base_greedy_sc,100,6,0,0,0.0
No-RL base,norl_base_greedy_sc,101,5,0,0,0.0
No-RL base,norl_base_greedy_sc,102,10,2,1,1.0
No-RL base,norl_base_greedy_sc,103,6,2,1,1.0
No-RL base,norl_base_greedy_sc,104,5,0,0,0.0
No-RL base,norl_base_greedy_sc,105,15,1,0,0.0
No-RL base,norl_base_greedy_sc,106,5,0,0,0.0
No-RL base,norl_base_greedy_sc,107,5,0,0,0.0
No-RL base,norl_base_greedy_sc,108,9,1,0,0.0
No-RL base,norl_base_greedy_sc,109,8,4,0,1.0
No-RL base,norl_base_greedy_sc,110,7,0,0,0.0
No-RL base,norl_base_greedy_sc,111,6,4,0,0.0
No-RL base,norl_base_greedy_sc,112,4,0,0,0.0
No-RL base,norl_base_greedy_sc,113,5,1,0,0.0
No-RL base,norl_base_greedy_sc,114,3,1,0,1.0
No-RL base,norl_base_greedy_sc,115,5,0,0,0.0
No-RL base,norl_base_greedy_sc,116,7,1,0,0.0
No-RL base,norl_base_greedy_sc,117,4,0,0,0.0
No-RL base,norl_base_greedy_sc,118,6,1,1,1.0
No-RL base,norl_base_greedy_sc,119,20,1,0,0.0
No-RL base,norl_base_greedy_sc,120,8,1,0,0.0
No-RL base,norl_base_greedy_sc,121,5,0,0,0.0
No-RL base,norl_base_greedy_sc,122,12,2,2,0.0
No-RL base,norl_base_greedy_sc,123,5,2,0,0.0
No-RL base,norl_base_greedy_sc,124,5,0,0,0.0
No-RL base,norl_base_greedy_sc,125,7,2,1,0.0
No-RL base,norl_base_greedy_sc,126,5,0,0,0.0
No-RL base,norl_base_greedy_sc,127,6,2,1,0.0
No-RL base,norl_base_greedy_sc,128,9,2,2,1.0
No-RL base,norl_base_greedy_sc,129,9,2,2,1.0
No-RL base,norl_base_greedy_sc,130,6,2,1,1.0
