arm,step,segment,reward_mean,overlong_rate,num_turns_mean,response_length_mean,actor_entropy,actor_grad_norm,step_seconds,val_greedy_in_training
foldgrpo,1,real,0.0765,0.0,8.93,9751,0.0964,0.0852,798,
foldgrpo,2,real,0.0848,0.0,10.12,10866,0.1642,0.0732,1022,
foldgrpo,3,real,0.0974,0.0,10.32,12045,0.1622,0.0974,962,
foldgrpo,4,real,0.0784,0.0,9.27,10698,0.1524,0.0883,977,
foldgrpo,5,real,0.0904,0.0,9.68,10405,0.1729,0.0992,969,
foldgrpo,6,real,0.1248,0.0,10.91,12329,0.1086,0.1301,1197,
foldgrpo,7,real,0.0715,0.0,10.44,11774,0.095,0.1157,1102,
foldgrpo,8,real,0.1142,0.0,10.84,13076,0.1304,0.14,1126,
foldgrpo,9,real,0.0487,0.0,11.86,13672,0.0879,0.0777,1399,
foldgrpo,10,real,0.1501,0.0,11.76,13824,0.0701,0.1216,1367,0.2267
foldgrpo,11,real,0.1402,0.0,13.77,16156,0.191,0.1241,1621,
foldgrpo,12,gap_partial,0.0126,0.0,21.12,5533,0.1568,0.0483,925,
foldgrpo,13,real,0.0424,0.0,13.49,15390,0.0736,0.0786,1707,
foldgrpo,14,real,0.1746,0.0,13.65,15638,0.1168,0.124,1571,
foldgrpo,15,real,0.0832,0.0,13.46,15090,0.0733,0.1076,1671,
foldgrpo,16,real,0.1559,0.0,14.3,16414,0.0921,0.1457,1890,
foldgrpo,17,real,0.1333,0.0,13.93,16939,0.1427,0.131,1761,
foldgrpo,18,real,0.1392,0.0,14.55,17323,0.1658,0.1679,1617,
foldgrpo,19,real,0.1737,0.0,16.83,17077,0.0696,0.0876,2236,
foldgrpo,20,real,0.0632,0.0,24.27,17399,0.0889,0.1108,2344,0.0133
foldgrpo,21,real,0.1118,0.0,16.27,19161,0.0879,0.0779,2605,
foldgrpo,22,real,0.1571,0.0,16.7,18838,0.1118,0.0804,2479,
foldgrpo,23,real,0.1552,0.0,18.06,19256,0.0753,0.1051,2905,
foldgrpo,24,real,0.1956,0.0,16.67,19038,0.067,0.1293,2932,
foldgrpo,25,real,0.219,0.0,17.26,19451,0.1599,0.0971,2632,
foldgrpo,26,real,0.1727,0.0,17.18,20198,0.1715,0.0994,2734,
foldgrpo,27,real,0.1415,0.0,17.24,18651,0.0636,0.1055,2832,
foldgrpo,28,real,0.1881,0.0,18.19,19818,0.1132,0.1336,3046,
foldgrpo,29,real,0.287,0.0,17.47,19887,0.2711,0.1748,2776,
foldgrpo,30,real,0.2165,0.0,17.69,19554,0.1025,0.1381,3263,0.3333
foldgrpo,31,real,0.1819,0.0,17.72,18974,0.0656,0.162,2867,
foldgrpo,32,real,0.1794,0.0,17.59,19338,0.0651,0.2081,3246,
foldgrpo,33,real,0.1409,0.0,18.45,20630,0.1154,0.1268,3550,
foldgrpo,34,real,0.1756,0.0,18.63,20909,0.1429,0.1338,3504,
foldgrpo,35,real,0.095,0.0,18.45,20190,0.0882,0.1282,3427,
foldgrpo,36,real,0.2285,0.0,18.14,19356,0.0623,0.1648,3330,
foldgrpo,37,real,0.2588,0.0,18.44,19879,0.083,0.1932,3370,
foldgrpo,38,real,0.1828,0.0,19.81,20897,0.0793,0.1607,4037,
