arm,operating_point,checkpoint_step,empty_think_turn_pct,traj_with_any_empty_think_pct,obs_intact_pct,obs_truncated,obs_missing,branch_calls_per_traj,search_calls_per_traj,open_page_calls_per_traj,main_thread_turns_per_traj,main_thread_chars_per_traj,finish_pct,all_turns_per_traj_logged,overlong_pct_logged
foldgrpo,greedy,0,50.6,74.7,96.5,15,0,1.59,1.19,0.13,4.46,38461,89.3,10.03,10.7
foldgrpo,greedy,10,62.7,93.3,95.5,23,0,1.89,1.3,0.25,4.27,42110,84.7,9.7,15.3
foldgrpo,greedy,20,77.4,100.0,94.8,35,0,2.69,1.6,0.21,5.93,48597,76.7,13.11,24.0
foldgrpo,greedy,30,80.6,100.0,97.2,20,0,3.55,0.97,0.19,5.6,35569,86.7,12.33,13.3
foldgrpo,greedy,40,80.5,100.0,98.5,10,0,3.91,0.4,0.15,5.53,24294,93.3,12.12,6.7
foldgrpo,greedy,50,79.9,100.0,99.3,5,0,4.39,0.26,0.08,5.88,21087,96.7,12.79,3.3
foldgrpo,t1.0,0,44.6,,96.3,,,1.67,,,,,90.2,8.526666666666667,10.0
foldgrpo,t1.0,40,78.8,,98.6,,,3.61,,,,,75.7,11.496666666666666,24.3
foldgrpo,t1.0,50,77.2,,98.9,,,3.6,,,,,68.0,11.128333333333334,32.2
grpo,greedy,0,50.6,74.7,96.5,15,0,1.59,1.19,0.13,4.46,38461,89.3,10.03,10.7
grpo,greedy,10,60.4,86.7,96.7,17,0,2.29,1.19,0.07,4.58,38321,88.0,10.28,12.0
grpo,greedy,20,57.1,89.3,95.9,22,0,2.06,1.43,0.07,4.45,46353,85.3,10.05,14.7
grpo,greedy,30,58.2,91.3,97.4,15,0,2.06,1.5,0.11,5.39,49764,88.7,11.89,11.3
grpo,greedy,40,56.8,88.7,97.0,17,0,2.18,1.58,0.17,4.73,48956,88.0,10.59,12.0
grpo,greedy,50,58.8,88.7,96.2,23,0,2.27,1.56,0.13,4.88,52076,85.3,10.91,15.3
grpo,greedy,60,57.9,92.0,97.1,18,0,2.47,1.33,0.23,5.64,48053,87.3,12.41,12.7
grpo,t1.0,0,44.6,,96.3,,,1.67,,,,,90.2,8.526666666666667,10.0
grpo,t1.0,40,57.2,,96.9,,,2.21,,,,,87.2,10.871666666666666,12.8
grpo,t1.0,50,63.9,,95.8,,,2.47,,,,,81.7,11.486666666666666,18.3
grpo,t1.0,60,59.4,,97.8,,,2.49,,,,,81.5,10.475,18.5
