cell,label,mode,cond,n,success,success_lo,success_hi,success_median,total_e2e_tokens,total_e2e_tokens_lo,total_e2e_tokens_hi,total_e2e_tokens_median,gen_tokens,gen_tokens_lo,gen_tokens_hi,gen_tokens_median,obs_tokens,obs_tokens_lo,obs_tokens_hi,obs_tokens_median,comp_in_tokens,comp_in_tokens_lo,comp_in_tokens_hi,comp_in_tokens_median,comp_gen_tokens,comp_gen_tokens_lo,comp_gen_tokens_hi,comp_gen_tokens_median,turns,turns_lo,turns_hi,turns_median,tool_calls,tool_calls_lo,tool_calls_hi,tool_calls_median,branch_calls,branch_calls_lo,branch_calls_hi,branch_calls_median,forward_passes,forward_passes_lo,forward_passes_hi,forward_passes_median,cum_prompt_tokens,cum_prompt_tokens_lo,cum_prompt_tokens_hi,cum_prompt_tokens_median,peak_ctx,peak_ctx_lo,peak_ctx_hi,peak_ctx_median,mean_ctx,mean_ctx_lo,mean_ctx_hi,mean_ctx_median,main_growth,main_growth_lo,main_growth_hi,main_growth_median,overlong,overlong_lo,overlong_hi,overlong_median,post_total,post_total_lo,post_total_hi,post_total_median,post_gen,post_gen_lo,post_gen_hi,post_gen_median,post_turns,post_turns_lo,post_turns_hi,post_turns_median,post_tool_calls,post_tool_calls_lo,post_tool_calls_hi,post_tool_calls_median,has_fold,has_fold_lo,has_fold_hi,has_fold_median,empty_think_turns,empty_think_turns_lo,empty_think_turns_hi,empty_think_turns_median,stop_reasons,val_score_trainer
base_nofold,base / no fold,greedy,all,150,0.08666666666666667,0.04666666666666667,0.13333333333333333,0.0,36477.833333333336,34900.36666666667,37947.2,39906.0,4272.34,3349.22,5379.166666666667,2714.0,27039.7,25375.453333333335,28578.42,31705.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.613333333333333,5.12,6.113333333333333,5.0,5.34,4.833333333333333,5.873333333333333,5.0,0.0,0.0,0.0,0.0,5.613333333333333,5.1466666666666665,6.133333333333334,5.0,117600.72666666667,104688.44,131390.73333333334,108332.5,31778.493333333332,30616.08,32884.293333333335,34379.5,19033.025513341432,18154.990940938205,19877.481606301106,20783.425,31328.926666666666,29786.626666666667,32779.62,34712.0,0.76,0.6933333333333334,0.8266666666666667,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,3.6133333333333333,3.1266666666666665,4.12,3.0,"{""llm_none"": 114, ""finish"": 36}",0.08666666666666667
base_nofold,base / no fold,greedy,success,13,1.0,1.0,1.0,1.0,22031.076923076922,19341.46153846154,25142.923076923078,20648.0,2618.6923076923076,2046.7692307692307,3292.6923076923076,2251.0,14249.076923076924,11555.0,17147.53846153846,12225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076923076923077,3.4615384615384617,4.769230769230769,4.0,2.923076923076923,2.3846153846153846,3.6153846153846154,3.0,0.0,0.0,0.0,0.0,4.076923076923077,3.4615384615384617,4.769230769230769,4.0,60636.307692307695,47486.61538461538,76333.23076923077,50979.0,22031.076923076922,19362.384615384617,25046.615384615383,20648.0,14410.275091575091,12935.184065934065,16103.976373626376,13066.0,16880.0,14087.461538461539,20027.76923076923,15487.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.3076923076923077,0.6923076923076923,2.076923076923077,1.0,"{""finish"": 13}",0.08666666666666667
base_nofold,base / no fold,t1n4,all,600,0.07333333333333333,0.05333333333333334,0.095,0.0,37334.138333333336,36623.581666666665,38000.471666666665,39758.5,3525.858333333333,3152.1183333333333,3941.798333333333,2547.0,28640.671666666665,27923.656666666666,29354.986666666668,31679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.221666666666667,5.97,6.486666666666666,5.0,5.988333333333333,5.726666666666667,6.261666666666667,5.0,0.0,0.0,0.0,0.0,6.221666666666667,5.961666666666667,6.486666666666666,5.0,133625.45,126903.35833333334,140489.45166666666,117171.0,32517.446666666667,31965.083333333332,33025.28166666667,34575.0,20019.71266453324,19637.784717672635,20399.60378864001,21103.321428571428,32185.231666666667,31504.06333333333,32863.22666666667,34618.0,0.8183333333333334,0.7866666666666666,0.85,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,4.261666666666667,3.993333333333333,4.536666666666667,4.0,"{""finish"": 107, ""llm_none"": 493}",0.07333333333333333
base_nofold,base / no fold,t1n4,success,44,1.0,1.0,1.0,1.0,22177.18181818182,20655.363636363636,23742.75,22109.5,2141.3636363636365,1893.5454545454545,2414.2045454545455,1908.5,14871.431818181818,13464.977272727272,16394.045454545456,14920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2727272727272725,4.5227272727272725,6.113636363636363,4.0,4.181818181818182,3.4545454545454546,4.9772727272727275,3.0,0.0,0.0,0.0,0.0,5.2727272727272725,4.5227272727272725,6.090909090909091,4.0,86203.43181818182,69367.70454545454,103806.72727272728,66920.0,22177.18181818182,20698.18181818182,23689.795454545456,22109.5,15320.66198101141,14376.036894923258,16343.312017906335,14748.333333333332,17028.613636363636,15546.477272727272,18510.43181818182,16951.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.8863636363636362,2.1818181818181817,3.6818181818181817,2.0,"{""finish"": 44}",0.07333333333333333
base_fold,base / fold,greedy,all,150,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.0,25545.08,23058.38,28197.486666666668,20538.0,4580.866666666667,4239.086666666667,4931.42,4236.5,14594.253333333334,12309.02,16998.213333333333,9677.0,1373.9733333333334,1199.94,1541.4866666666667,897.0,3198.9466666666667,2858.2466666666664,3550.4466666666667,2843.5,7.293333333333333,6.533333333333333,8.1,5.0,2.6,2.1466666666666665,3.08,1.0,1.72,1.5066666666666666,1.9466666666666668,1.0,7.293333333333333,6.546666666666667,8.126666666666667,5.0,103720.34,87453.75333333333,120656.02666666667,67833.5,20212.52666666667,18616.06,21817.553333333333,17350.0,12276.034064732023,11399.929176682966,13165.589696715508,10418.7875,9393.8,7782.846666666666,11091.773333333333,4740.0,0.11333333333333333,0.06666666666666667,0.16666666666666666,0.0,8677.824427480917,6553.534351145038,11014.297709923665,2174.0,1638.2900763358778,1394.6106870229007,1908.0076335877864,1013.0,4.3816793893129775,3.6106870229007635,5.236641221374046,2.0,1.1221374045801527,0.7633587786259542,1.5190839694656488,0.0,0.8733333333333333,0.8133333333333334,0.9266666666666666,1.0,3.453333333333333,2.8466666666666667,4.126666666666667,2.0,"{""llm_none"": 17, ""finish"": 133}",0.14666666666666667
base_fold,base / fold,greedy,success,22,1.0,1.0,1.0,1.0,20096.227272727272,17609.454545454544,23053.5,18512.0,3412.181818181818,2922.7272727272725,3929.8636363636365,3426.0,10830.40909090909,8468.363636363636,13570.363636363636,8299.0,863.7272727272727,644.0909090909091,1128.3636363636363,849.0,1861.6363636363637,1388.909090909091,2304.181818181818,1669.0,5.863636363636363,4.818181818181818,7.090909090909091,5.0,2.3181818181818183,1.5454545454545454,3.3181818181818183,1.5,1.0909090909090908,0.8181818181818182,1.3636363636363635,1.0,5.863636363636363,4.863636363636363,7.090909090909091,5.0,78467.22727272728,51653.59090909091,111220.63636363637,47540.0,18626.0,16133.5,21357.31818181818,16780.0,11817.909902597401,9901.914393939393,13866.413474025972,11006.65,7806.636363636364,5278.954545454545,10644.318181818182,7945.0,0.0,0.0,0.0,0.0,2465.842105263158,1092.6842105263158,4687.8421052631575,1072.0,834.1578947368421,555.2105263157895,1209.3684210526317,562.0,1.9473684210526316,1.368421052631579,2.789473684210526,2.0,0.21052631578947367,0.0,0.5789473684210527,0.0,0.8636363636363636,0.6818181818181818,1.0,1.0,2.409090909090909,1.3636363636363635,3.590909090909091,1.5,"{""finish"": 22}",0.14666666666666667
base_fold,base / fold,t1n4,all,600,0.18,0.15,0.21166666666666667,0.0,25702.665,24458.888333333332,26972.006666666668,21678.5,4684.528333333334,4507.9366666666665,4873.84,4233.0,14646.995,13441.45,15849.591666666667,10121.0,1374.075,1288.71,1462.335,946.5,3272.1666666666665,3091.1516666666666,3451.548333333333,2925.5,7.696666666666666,7.081666666666667,8.4,6.0,2.55,2.315,2.8016666666666667,1.0,1.745,1.6166666666666667,1.8783333333333334,1.0,7.696666666666666,7.098333333333334,8.396666666666667,6.0,109332.49166666667,95471.23333333334,124757.50166666666,67598.5,20170.131666666668,19373.305,20964.7,17459.5,11976.571499387877,11566.098493035453,12376.56581293892,10427.6,8692.453333333333,7968.143333333333,9470.016666666666,4404.0,0.07833333333333334,0.058333333333333334,0.1,0.0,8631.219465648855,7588.853053435115,9656.858778625954,2822.0,1740.2576335877864,1604.8320610687024,1885.4122137404581,1202.0,4.572519083969466,4.015267175572519,5.232824427480916,3.0,1.0706106870229009,0.8912213740458015,1.2690839694656488,0.0,0.8733333333333333,0.8466666666666667,0.9,1.0,3.5516666666666667,3.151666666666667,3.965,2.0,"{""finish"": 549, ""llm_none"": 48, ""max_turn"": 3}",0.18
base_fold,base / fold,t1n4,success,108,1.0,1.0,1.0,1.0,23786.583333333332,21875.62037037037,25905.62037037037,21483.0,3379.6111111111113,3111.740740740741,3655.5,3074.0,14349.62962962963,12659.777777777777,16310.861111111111,11574.0,1066.4722222222222,910.9074074074074,1230.101851851852,861.5,1923.1759259259259,1685.0092592592594,2173.3518518518517,1654.5,6.731481481481482,5.972222222222222,7.574074074074074,5.0,2.7685185185185186,2.287037037037037,3.3055555555555554,2.0,1.2962962962962963,1.1018518518518519,1.5,1.0,6.731481481481482,6.0,7.592592592592593,5.0,86989.14814814815,73365.25925925926,103170.51851851853,63997.0,20382.712962962964,19072.194444444445,21756.166666666668,18566.5,12018.495157063193,11355.726456781991,12679.752570539027,11946.533333333333,7254.925925925926,6209.314814814815,8291.351851851852,6033.5,0.0,0.0,0.0,0.0,5925.684782608696,4030.8260869565215,7991.967391304348,1146.0,1086.1630434782608,876.8260869565217,1312.3478260869565,640.0,3.25,2.4782608695652173,4.163043478260869,2.0,0.9239130434782609,0.4673913043478261,1.4456521739130435,0.0,0.8518518518518519,0.7777777777777778,0.9166666666666666,1.0,3.0925925925925926,2.509259259259259,3.740740740740741,2.0,"{""finish"": 108}",0.18
grpo_nofold,GRPO / no fold,greedy,all,150,0.15333333333333332,0.1,0.21333333333333335,0.0,36754.18666666667,35023.54666666667,38583.12,39044.5,3159.4,2895.24,3410.326666666667,2845.5,28429.68,26788.78,30152.5,30584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.386666666666667,4.973333333333334,5.833333333333333,5.0,5.013333333333334,4.566666666666666,5.466666666666667,4.0,0.0,0.0,0.0,0.0,5.386666666666667,4.973333333333334,5.833333333333333,5.0,110043.41333333333,99989.07333333333,120342.13333333333,98510.0,30734.353333333333,29529.46,31954.613333333335,33411.0,19335.12270560921,18589.569608317608,20021.422910052912,20339.423076923078,31605.28,29917.946666666667,33332.62,33895.0,0.7066666666666667,0.6333333333333333,0.78,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,2.4133333333333336,1.96,2.9,1.0,"{""llm_none"": 106, ""finish"": 44}",0.15333333333333332
grpo_nofold,GRPO / no fold,greedy,success,23,1.0,1.0,1.0,1.0,23118.043478260868,20383.608695652172,25993.695652173912,22492.0,2335.521739130435,1927.0869565217392,2793.217391304348,2144.0,15616.652173913044,13084.95652173913,18114.608695652172,15227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739130434782608,3.869565217391304,5.913043478260869,4.0,3.5652173913043477,2.739130434782609,4.695652173913044,3.0,0.0,0.0,0.0,0.0,4.739130434782608,3.869565217391304,5.913043478260869,4.0,79276.65217391304,60907.782608695656,100415.08695652174,69996.0,23118.043478260868,20335.739130434784,25963.217391304348,22492.0,16208.016925465838,14391.19265010352,18062.588561076605,15347.666666666666,17966.391304347828,15262.434782608696,20779.434782608696,17375.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.9565217391304348,1.2173913043478262,3.0869565217391304,1.0,"{""finish"": 23}",0.15333333333333332
