pair,a,b,mode,metric,n_tasks,mean_diff,ci_lo,ci_hi,median_diff,frac_positive,sign_p,mean_a,mean_b
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,success,150,0.04666666666666667,-0.02666666666666667,0.12,0.0,0.12666666666666668,0.28104151505976915,0.37333333333333335,0.32666666666666666
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,total_e2e_tokens,150,38459.386666666665,26382.626666666667,51096.34,20903.0,0.6933333333333334,2.4715829058159294e-06,101086.53333333334,62627.14666666667
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,gen_tokens,150,10.286666666666667,-381.8466666666667,392.8066666666667,-200.5,0.46,0.36916146966178864,4311.38,4301.093333333333
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,obs_tokens,150,37006.2,25710.886666666665,49267.24,20007.0,0.68,1.2305573559865738e-05,88537.68666666666,51531.486666666664
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,turns,150,11.933333333333334,7.86,15.933333333333334,9.0,0.6866666666666666,2.096878096362006e-06,31.386666666666667,19.453333333333333
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,tool_calls,150,6.62,3.98,9.2,5.0,0.64,7.799113896848694e-05,18.58,11.96
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,peak_ctx,150,1290.9933333333333,-49.8,2708.866666666667,321.5,0.54,0.36916146966178864,32426.133333333335,31135.14
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,mean_ctx,150,-950.5088391869537,-1739.7812057341546,-145.3803415547644,-612.5184149184151,0.3933333333333333,0.011121593847224862,17342.546762289592,18293.055601476535
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,cum_prompt_tokens,150,215656.54666666666,128254.07333333333,301375.0133333333,138373.0,0.6333333333333333,0.0013699461049548254,595450.64,379794.0933333333
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,greedy,forward_passes,150,11.933333333333334,7.96,16.06,9.0,0.6866666666666666,2.096878096362006e-06,31.386666666666667,19.453333333333333
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,success,150,0.02666666666666667,-0.008333333333333333,0.06166666666666667,0.0,0.2,0.2624375357110438,0.36666666666666664,0.34
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,total_e2e_tokens,150,32663.49,26291.831666666665,39000.60166666667,24930.375,0.8133333333333334,3.430408065571779e-15,99817.685,67154.195
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,gen_tokens,150,-441.3616666666667,-650.7083333333334,-246.54,-198.75,0.4066666666666667,0.02715259073764606,4342.13,4783.491666666667
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,obs_tokens,150,31881.915,26096.088333333333,37897.20333333333,25103.375,0.8266666666666667,1.6591295608043992e-16,87295.54333333333,55413.628333333334
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,turns,150,10.515,8.445,12.573333333333334,9.5,0.7933333333333333,2.3439580458997396e-13,32.178333333333335,21.663333333333334
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,tool_calls,150,6.256666666666667,4.921666666666667,7.61,5.375,0.7933333333333333,1.4802177250114632e-14,19.508333333333333,13.251666666666667
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,peak_ctx,150,995.63,392.58,1624.395,648.125,0.5733333333333334,0.08607110318597075,32567.553333333333,31571.923333333332
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,mean_ctx,150,-1244.5458566566708,-1657.8835222309103,-830.9947691087115,-1103.5823993868635,0.32666666666666666,2.6269069412203526e-05,17562.5142221413,18807.060078797975
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,cum_prompt_tokens,150,179273.50666666665,133413.48666666666,227503.13333333333,141261.5,0.78,3.2064017750873968e-12,615312.415,436038.9083333333
FoldGRPO/fold − GRPO/fold (same tasks),fold_fold,grpo_fold,t1n4,forward_passes,150,10.515,8.498333333333333,12.57,9.5,0.7933333333333333,2.3439580458997396e-13,32.178333333333335,21.663333333333334
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,success,150,0.30666666666666664,0.22666666666666666,0.38666666666666666,0.0,0.32666666666666666,1.042677055806962e-11,0.37333333333333335,0.06666666666666667
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,total_e2e_tokens,150,61771.513333333336,51125.3,72871.81333333334,38906.5,0.8266666666666667,1.6591295608043992e-16,101086.53333333334,39315.02
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,gen_tokens,150,2247.32,1733.4333333333334,2685.5066666666667,2117.5,0.92,2.6423438835189126e-28,4311.38,2064.06
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,obs_tokens,150,56456.08,46130.746666666666,67667.72666666667,33907.0,0.8133333333333334,3.430408065571779e-15,88537.68666666666,32081.606666666667
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,turns,150,24.573333333333334,21.253333333333334,28.066666666666666,19.0,0.9,2.666922584019218e-28,31.386666666666667,6.8133333333333335
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,tool_calls,150,11.853333333333333,9.733333333333333,14.046666666666667,8.5,0.8066666666666666,2.923580700821239e-17,18.58,6.726666666666667
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,peak_ctx,150,-1444.3733333333332,-2740.6266666666666,-146.88666666666666,234.0,0.54,0.32558038049943583,32426.133333333335,33870.50666666667
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,mean_ctx,150,-4294.141524828523,-5082.146561730811,-3488.3710660701045,-3593.640390390392,0.16,6.6898397723462276e-18,17342.546762289592,21636.68828711811
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,cum_prompt_tokens,150,444678.82666666666,371266.14666666667,527579.84,295167.0,0.8466666666666667,1.2501769109848844e-18,595450.64,150771.81333333332
FoldGRPO: fold − no fold,fold_fold,fold_nofold,greedy,forward_passes,150,24.573333333333334,21.16,28.053333333333335,19.0,0.9,2.666922584019218e-28,31.386666666666667,6.8133333333333335
